Date,Open,High,Low,Close,Adj Close,Volume
2016-02-25,193.730,195.550,192.830,195.540,180.854,110728300
2016-02-26,196.570,196.680,194.900,195.090,180.437,129833700
2016-02-29,195.110,196.230,193.330,193.560,179.022,125918100
2016-03-01,195.010,198.210,194.450,198.110,183.231,141799700
2016-03-02,197.740,199.060,197.250,199.000,184.054,102415000
2016-03-03,198.790,199.800,198.110,199.780,184.775,95172200
2016-03-04,200.010,201.350,199.030,200.430,185.376,129293600
2016-03-07,199.340,201.070,199.250,200.590,185.524,100219000
2016-03-08,199.320,199.920,198.210,198.400,183.499,123974900
2016-03-09,199.360,199.790,198.430,199.380,184.405,94801200
2016-03-10,199.960,201.070,197.380,199.540,184.553,156838700
2016-03-11,201.260,202.810,199.520,202.760,187.531,137964500
2016-03-14,202.160,203.040,201.770,202.500,187.291,73612000
2016-03-15,201.360,202.530,201.050,202.170,186.986,93169100
2016-03-16,201.600,203.820,201.550,203.340,188.068,129303200
2016-03-17,203.240,205.230,202.770,204.630,189.261,134278500
2016-03-18,204.170,204.780,203.800,204.380,190.005,138372400
2016-03-21,204.070,204.940,203.800,204.670,190.274,72926700
2016-03-22,203.760,205.230,203.570,204.560,190.172,97471900
2016-03-23,204.110,204.330,203.010,203.210,188.917,81052500
2016-03-24,202.000,203.160,201.740,203.120,188.833,84360900
2016-03-28,203.610,203.860,202.710,203.240,188.945,62408200
2016-03-29,202.760,205.250,202.400,205.120,190.693,92922900
2016-03-30,206.300,206.870,205.590,206.020,191.529,86365300
2016-03-31,205.910,206.410,205.330,205.520,191.064,94584100
2016-04-01,204.350,207.140,203.980,206.920,192.366,114423500
2016-04-04,206.830,207.070,205.890,206.250,191.743,63497000
2016-04-05,204.670,206.260,203.890,204.190,189.828,99662200
2016-04-06,204.190,206.490,203.980,206.420,191.901,91839800
2016-04-07,205.140,205.560,203.090,203.950,189.605,113859000
2016-04-08,205.340,205.850,203.870,204.500,190.116,95040600
2016-04-11,205.250,206.070,203.910,204.020,189.670,83757500
2016-04-12,204.220,206.250,203.700,205.920,191.436,115350600
2016-04-13,207.000,208.100,206.840,208.000,193.370,96336400
2016-04-14,208.070,208.600,207.600,208.010,193.379,65212900
2016-04-15,208.010,208.170,207.400,207.780,193.165,75761600
2016-04-18,207.780,209.280,207.000,209.240,194.523,82531000
2016-04-19,209.740,210.200,208.940,209.900,195.136,88316100
2016-04-20,209.950,210.920,209.390,210.100,195.322,81100300
2016-04-21,210.120,210.250,208.650,208.970,194.272,85695000
2016-04-22,208.550,209.290,207.910,208.970,194.272,99251700
2016-04-25,208.260,208.660,207.540,208.610,193.937,66166500
2016-04-26,209.040,209.520,208.360,208.920,194.225,75864200
2016-04-27,208.470,209.810,208.050,209.350,194.625,77329400
2016-04-28,208.460,209.760,206.960,207.450,192.859,97216200
2016-04-29,206.720,207.130,205.030,206.330,191.817,142424100
2016-05-02,206.920,208.180,206.410,207.970,193.342,62188000
2016-05-03,206.520,206.800,205.280,206.160,191.659,106422100
2016-05-04,204.990,205.850,204.420,205.010,190.590,92243800
2016-05-05,205.560,205.980,204.470,204.970,190.553,67619200
2016-05-06,204.060,205.770,203.880,205.720,191.250,89315000
2016-05-09,205.570,206.400,205.360,205.890,191.408,74374900
2016-05-10,206.720,208.470,206.640,208.450,193.788,77472200
